# Gene set information originates from Pathways Commons V10, humans section. Data were downloaded on 1/14/2019.		
Pathway	Source	Size
Arginine and Proline metabolism	inoh	48
Fanconi anemia pathway	pid	48
IL6-mediated signaling events	pid	48
Notch-mediated HES;HEY network	Merged from multiple pathways	48
PLK1 signaling events	pid	48
Pyrimidine Nucleotides and Nucleosides metabolism	inoh	48
Regulation of RhoA activity	pid	48
Ceramide signaling pathway	pid	49
Hedgehog signaling events mediated by Gli proteins	pid	49
Angiopoietin receptor Tie2-mediated signaling	pid	50
Calcineurin-regulated NFAT-dependent transcription in lymphocytes	pid	50
FoxO family signaling	pid	50
GPCR Dopamine D1like receptor signaling pathway	inoh	50
Posttranslational regulation of adherens junction stability and dissassembly	pid	50
PNAT	panther	51
CD4 T cell receptor signaling (JNK cascade)	inoh	53
Muscarinic acetylcholine receptor 2 and 4 signaling pathway	panther	53
Signaling events mediated by PTP1B	pid	53
Signaling events mediated by Stem cell factor receptor (c-Kit)	pid	53
TGF-beta receptor signaling	pid	53
IL2-mediated signaling events	pid	54
Muscarinic acetylcholine receptor 1 and 3 signaling pathway	panther	54
RAC1 signaling pathway	pid	54
Regulation of Androgen receptor activity	pid	54
Role of Calcineurin-dependent NFAT signaling in lymphocytes	pid	54
Validated transcriptional targets of TAp63 isoforms	pid	54
B cell activation	panther	56
TGF-beta_BMP Diagram(MolecularVariation)	inoh	56
Thromboxane A2 receptor signaling	pid	56
Thyrotropin-releasing hormone receptor signaling pathway	panther	56
Caspase Cascade in Apoptosis	pid	57
CD4 T cell receptor signaling (NF-kB cascade)	inoh	57
Notch signaling pathway	pid	58
Notch signaling pathway	panther	58
Signaling events mediated by HDAC Class II	pid	58
ATF-2 transcription factor network	pid	59
p53 pathway	pid	59
p53 pathway	panther	59
FGF signaling pathway	panther	60
FGF signaling pathway	pid	60
FGF signaling pathway	inoh	60
SHP2 signaling	pid	60
Coregulation of Androgen receptor activity	pid	61
IL12-mediated signaling events	pid	62
Alzheimer disease-amyloid secretase pathway	panther	63
Neurotrophic factor-mediated Trk receptor signaling	pid	63
Signaling events mediated by focal adhesion kinase	pid	63
Validated targets of C-MYC transcriptional repression	pid	63
Endothelins	pid	64
Fc-epsilon receptor I signaling in mast cells	pid	64
T cell activation	panther	64
Tryptophan degradation	inoh	64
LPA receptor mediated events	pid	65
Metabotropic glutamate receptor group III pathway	panther	65
Validated nuclear estrogen receptor alpha network	pid	65
IL4-mediated signaling events	pid	66
Integrins in angiogenesis	pid	66
mTOR signaling pathway	pid	66
HIF-1-alpha transcription factor network	pid	67
Regulation of retinoblastoma protein	pid	67
Downstream signaling in na??ve CD8+ T cells	pid	69
Signaling events mediated by VEGFR1 and VEGFR2	pid	69
TCR signaling in na??ve CD4+ T cells	pid	69
BCR signaling pathway	pid	70
Beta1 integrin cell surface interactions	pid	70
Cytoskeletal regulation by Rho GTPase	panther	70
Ras Pathway	panther	70
Regulation of Telomerase	pid	70
AP-1 transcription factor network	pid	71
CDC42 signaling events	pid	71
p75(NTR)-mediated signaling	pid	74
E2F transcription factor network	pid	77
Interleukin signaling pathway	panther	78
Insulin receptor signaling (C. elegans)	inoh	79
p73 transcription factor network	pid	80
Regulation of nuclear beta catenin signaling and target gene transcription	pid	80
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	pid	80
Validated targets of C-MYC transcriptional activation	pid	80
TGF-beta_super_family_signaling_pathway(canonical)	inoh	81
Insulin receptor signaling (Mammal)	inoh	82
Regulation of nuclear SMAD2;3 signaling	Merged from multiple pathways	82
Glucocorticoid receptor regulatory network	pid	85
Nicotinic acetylcholine receptor signaling pathway	panther	86
C-MYB transcription factor network	pid	87
CXCR4-mediated signaling events	pid	87
CD4 T cell receptor signaling	inoh	88
Parkinson disease	panther	89
Signaling events mediated by HDAC Class I	pid	89
Canonical Wnt signaling pathway Diagram	inoh	91
C. elegans endoderm induction Wnt signaling pathway Diagram	inoh	91
Drosophila Wingless;Wnt signaling pathway Diagram	Merged from multiple pathways	91
Mammalian Wnt signaling pathway Diagram	inoh	91
TGF-beta signaling pathway	panther	91
Xenopus axis formation Wnt signaling pathway Diagram	inoh	91
B cell receptor signaling	inoh	92
Purine nucleotides and Nucleosides metabolism	inoh	104
ErbB1 downstream signaling	pid	105
Apoptosis signaling pathway	panther	108
Alzheimer disease-presenilin pathway	panther	111
EGF receptor signaling pathway	panther	115
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	panther	118
Huntington disease	panther	118
PDGFR-beta signaling pathway	pid	125
PDGF signaling pathway	panther	125
PDGF signaling pathway	inoh	125
Integrin signaling pathway	inoh	127
Direct p53 effectors	pid	140
Gastrin_CCK2R_240212	panther	149
Cadherin signaling pathway	panther	150
Angiogenesis	panther	152
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway	panther	152
Integrin signalling pathway	panther	166
Inflammation mediated by chemokine and cytokine signaling pathway	panther	197
Drosophila Toll-like receptor signaling	inoh	236
